date,code,open,high,low,close,preclose,volume,amount,turn,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM
2001-07-27,sh.600016,0.6719858700,0.6763588800,0.6559515000,0.6632398500,0.6705282000,1686208,23061772.0000,0.370595,-1.086961,71.541626,4.983365,18.194531,8.261875
2001-07-30,sh.600016,0.6608104000,0.6622680700,0.6272839900,0.6272839900,0.6632398500,2804943,36841224.0000,0.616471,-5.421244,67.663179,4.713204,17.208161,7.813979
2001-07-31,sh.600016,0.6229109800,0.6345723400,0.6195097500,0.6243686500,0.6272839900,2484349,31997169.0000,0.546011,-0.464752,67.348710,4.691299,17.128185,7.777663
2001-08-01,sh.600016,0.6267981000,0.6486631500,0.6267981000,0.6433183600,0.6243686500,2471071,32320497.0000,0.543093,3.035015,69.392756,4.833681,17.648028,8.013716
2001-08-02,sh.600016,0.6462337000,0.6462337000,0.6209674200,0.6253404300,0.6433183600,2516086,32371803.0000,0.552986,-2.794561,67.453533,4.698601,17.154843,7.789768
2001-08-03,sh.600016,0.6311711100,0.6311711100,0.6146508500,0.6170803000,0.6253404300,2603820,33187398.0000,0.572268,-1.320902,66.562538,4.636537,16.928245,7.686873
2001-08-06,sh.600016,0.6146508500,0.6151367400,0.5660618500,0.5922999100,0.6170803000,5535782,66437663.0000,1.216655,-4.015750,63.889554,4.450345,16.248449,7.378187
2001-08-07,sh.600016,0.5879269000,0.6073625000,0.5782091000,0.6068766100,0.5922999100,3496392,42725260.0000,0.768438,2.461035,65.461898,4.559870,16.648329,7.559767
2001-08-08,sh.600016,0.6025036000,0.6025036000,0.5903563500,0.5927858000,0.6068766100,1390094,17027227.0000,0.305515,-2.321857,63.941966,4.453996,16.261778,7.384240
2001-08-09,sh.600016,0.5918140200,0.6063907200,0.5918140200,0.6039612700,0.5927858000,1378184,17091237.0000,0.302898,1.885250,65.147429,4.537965,16.568353,7.523451
2001-08-10,sh.600016,0.6063907200,0.6219392000,0.6054189400,0.6214533100,0.6039612700,2747600,34864740.0000,0.603868,2.896216,67.034241,4.669394,17.048209,7.741347
